identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
12145139,SP726/1,BOOK 2,Register of names relating to exemption from Dictation Tests (1911-1918),1911 - 1918,1911,1918,Open,Sydney,False,0
12145140,SP726/1,BOOK 3,Register of names relating to exemption from Dictation Tests (1918-1925),1918 - 1925,1918,1925,Open,Sydney,False,0
12145522,SP726/1,BOOK 1,Register of names relating to exemption from Dictation Tests (1902-1910),1902 - 1910,1902,1910,Open,Sydney,False,0
12154684,SP726/1,BOOK 4,Register of names relating to exemption from Dictation Tests (1919-1924),1919 - 1924,1919,1924,Open,Sydney,False,0
12154685,SP726/1,BOOK 5,Register of names relating to exemption from Dictation Tests (1925-1934),1925 - 1934,1925,1934,Open,Sydney,False,0
12154687,SP726/1,BOOK 6,Register of names relating to exemption from Dictation Tests (1934-1959),1934 - 1959,1934,1959,Open,Sydney,False,0
