identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
1072442,B6003,1,"Register of Certificates Exempting from the Dictation Test (Departures), Melbourne 1904 - 1914",1904 - 1914,1904,1914,Open,Melbourne,False,0
1072443,B6003,2,"Register of Certificates Exempting from the Dictation Test (Departures), Melbourne 1915 - 1933",1915 - 1933,1915,1933,Open,Melbourne,False,0
1072444,B6003,3,"Register of Certificates Exempting from the Dictation Test (Departures), Melbourne 1934 - 1959",1934 - 1959,1934,1959,Open,Melbourne,False,0
